Stock Name,NSE Symbol
Maharashtra Scooters Ltd.,MAHSCOOTER
Manali Petrochemicals Ltd.,MANALIPETC
Max Financial Services Limited,MFSL
Mirc Electronics Ltd,MIRCELECTR
Century Enka Ltd.,CENTENKA
Modern Thread (India) Ltd.,MODTHREAD
Lords Chloro Alkali Ltd,LORDSCHLO
Morepen Laboratories Ltd.,MOREPENLAB
M.R.F. Ltd.,MRF
HeidelbergCement  India Limited,HEIDELBERG
NCC Limited,NCC
Vedanta Limited,VEDL
Nahar Spinning Mills Ltd.,NAHARSPING
Grasim Industries Ltd,GRASIM
Piramal Enterprises Limited,PEL
NIIT Ltd.,NIITLTD
Oil And Natural Gas Corporation Ltd,ONGC
Oil Country Tubular Ltd.,OILCOUNTUB
Oriental Hotels Ltd.,ORIENTHOT
Oswal Agro Mills Ltd.,OSWALAGRO
Reliance Industries Ltd,RELIANCE
Pil Italica Lifestyle Limited,PILITA
Raymond Limited,RAYMOND
Pidilite Industries Ltd.,PIDILITIND
Pix Transmissions Ltd.,PIXTRANS
Birla Corporation Ltd.,BIRLACORPN
Surya Roshni Ltd.,SURYAROSNI
Prime Securities Ltd.,PRIMESECU
PRISM JOHNSON LIMITED.,PRSMJOHNSN
Rain Industries Limited,RAIN
Prudential Sugar Corporation Ltd,PRUDMOULI
AMJ LAND HOLDINGS LIMITED,AMJLAND
RSWM Limited,RSWM
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG
Rallis India Ltd,RALLIS
Shree Rama Newsprint Limited,RAMANEWS
Rubfila International Ltd.,RUBFILA
Patanjali Foods Limited,PATANJALI
Jindal Saw Ltd.,JINDALSAW
JK Lakshmi Cement Limited,JKLAKSHMI
Shree Cements Ltd.,SHREECEM
Reliance Infrastructure Ltd,RELINFRA
Tata Power Co. Ltd,TATAPOWER
SPML Infra Limited,SPMLINFRA
Sundram Fasteners Ltd.,SUNDRMFAST
Sunflag Iron & Steel Co. Ltd.,SUNFLAG
Supreme Petrochem Ltd.,SPLPETRO
Swaraj Engines Ltd.,SWARAJENG
Tata Elxsi Ltd,TATAELXSI
ACC Ltd,ACC
Thermax Ltd.,THERMAX
Thirumalai Chemicals Ltd.,TIRUMALCHM
Thomas Cook (India) Ltd.,THOMASCOOK
Tokyo Plast International Ltd.,TOKYOPLAST
Torrent Pharmaceuticals Ltd.,TORNTPHARM
Ambuja Cements Ltd.,AMBUJACEM
Uniphos Enterprises Limited.,UNIENTER
Vardhman Holdings Limited,VHL
Hindalco Industries Ltd.,HINDALCO
West Coast Paper Mills Limited,WSTCSTPAPR
Pasupati Acrylon Ltd.,PASUPTAC
Procter & Gamble Hygiene & Health Care Ltd.,PGHH
Mukand Ltd.,MUKANDLTD
BLACK BOX LIMITED,BBOX
UCAL LIMITED,UCAL
Harrisons Malayalam Ltd.,HARRMALAYA
Federal Bank Ltd.,FEDERALBNK
TATA STEEL LIMITED,TATASTEEL
SKF India Ltd.,SKFINDIA
Ashok Leyland Ltd.,ASHOKLEY
Cummins India Ltd.,CUMMINSIND
Tata Communications Limited,TATACOMM
Abbott India Ltd.,ABBOTINDIA
Bajaj Holdings & Investment Limited,BAJAJHLDNG
Bharat Forge Ltd,BHARATFORG
Escorts Kubota Limited,ESCORTS
Hindustan Motors Ltd.,HINDMOTORS
Larsen & Toubro Limited,LT
Mahindra & Mahindra Ltd.,M&M
Bosch Ltd,BOSCHLTD
Premier Limited,PREMIER
Bharat Petroleum Corpn. Ltd.,BPCL
Siemens Ltd.,SIEMENS
Tata Motors Ltd.,TATAMOTORS
Voltas Ltd.,VOLTAS
Great Eastern Shipping Co. Ltd.,GESHIP
Deepak Fertilizers &Petrochemicals,DEEPAKFERT
Excell Industries Ltd.,EXCELINDUS
GARWARE HI-TECH FILMS LIMITED,GRWRHITECH
GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO
Gujarat Narmada Valley Fert.Co.Ltd,GNFC
Sanofi India Ltd,SANOFI
Pfizer Ltd.,PFIZER
Gujarat State Fertilizers & Chem.Ltd,GSFC
Hindustan Unilever Ltd.,HINDUNILVR
Akzo Nobel India Limited,AKZOINDIA
NOCIL Ltd,NOCIL
Tata Chemicals Ltd,TATACHEM
Tamilnadu Petroproducts Ltd,TNPETRO
Zuari Industries Limited,ZUARIIND
Nestle India Ltd.,NESTLEIND
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
Asian Paints Ltd.,ASIANPAINT
Britannia Industries Ltd.,BRITANNIA
Colgate-Palmolive (India) Ltd.,COLPAL
EIH Ltd,EIHOTEL
Indian Hotels Co. Ltd,INDHOTEL
Castrol India Ltd,CASTROLIND
ITC Ltd,ITC
Apollo Tyres Ltd,APOLLOTYRE
Ceat Ltd.,CEATLTD
Modi Rubber Ltd.,MODIRUBBER
Finolex Industries Ltd.,FINPIPE
Centrum Capital Limited,CENTRUM
TCI Finance Limited,TCIFINANCE
Industrial Investment Trust Ltd.,IITL
Tata Investment Corporation Ltd.,TATAINVEST
Motor & General Finance (M.G.F.) Lt,MOTOGENFIN
Shaily Engineering Plastics Ltd.,SHAILY
Bombay Burmah Trading Corpn. Ltd.,BBTC
Greaves Cotton Ltd.,GREAVESCOT
Coastal Corporation Limited,COASTCORP
Sagar Cements Ltd,SAGCEM
Deccan Cements Ltd.,DECCANCE
Mangalam Cement Ltd.,MANGLMCEM
NCL Industries Limited,NCLIND
Saurashtra Cement Limited,SAURASHCEM
Shree Digvijay Cement Co. Ltd.,SHREDIGCEM
BOROSIL RENEWABLES LIMITED,BORORENEW
ANDHRA PAPER LIMITED,ANDHRAPAP
Balkrishna Industries Ltd.,BALKRISIND
Orient Paper & Industries Ltd.,ORIENTPPR
Rollatainters Ltd.,ROLLT
Seshasayee Paper & Boards Ltd.,SESHAPAPER
DCM Ltd.,DCM
Kesoram Industries Ltd,KESORAMIND
Vardhman Textiles Limted,VTL
Peninsula Land Limited,PENINLAND
The Phoenix Mills Ltd.,PHOENIXLTD
Marathon Nextgen Realty Ltd,MARATHON
Reliance Chemotex Industries Ltd.,RELCHEMQ
Ruby Mills Ltd.,RUBYMILLS
Swan Energy Ltd.,SWANENERGY
Banswara Syntex Ltd.,BANSWRAS
SRF Ltd.,SRF
Siyaram Silk Mills Ltd.,SIYSIL
Bharat Bijlee Ltd.,BBL
Hind Rectifiers Ltd.,HIRECT
Indo National Limited,NIPPOBATRY
Zensar Technologies Ltd.,ZENSARTECH
Nelco Ltd,NELCO
Universal Cables Ltd.,UNIVCABLES
W.S. Industries (India) Ltd.,WSI
DELTA MANUFACTURING LIMITED ,DELTAMAGNT
RAVINDRA ENERGY LIMITED,RELTD
Sarda Energy & Minerals Ltd,SARDAEN
Indian Hume Pipe Co. Ltd.,INDIANHUME
ORIENT CERATECH LIMITED,ORIENTCER
Sandur Manganese & Iron Ores Ltd.,SANDUMA
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG
Automotive Axles Ltd.,AUTOAXLES
Atlas Cycles (Haryana) Ltd.,ATLASCYCLE
Setco Automotive Limited,SETCO
Talbros Automotive Components Ltd.,TALBROAUTO
SML ISUZU LIMITED,SMLISUZU
TIL Ltd.,TIL
Eicher Motors Ltd.,EICHERMOT
Dynamatic Technologies Ltd.,DYNAMATECH
GMM Pfaudler Ltd.,GMMPFAUDLR
Kirloskar Pneumatic Co.Ltd.,KIRLPNU
Manugraph India Ltd,MANUGRAPH
Nesco Ltd,NESCO
SEMAC CONSULTANTS LIMITED,SEMAC
Texmaco Infrastructure & Holdings Ltd,TEXINFRA
Wendt (India) Ltd.,WENDT
Responsive Industries Ltd,RESPONIND
DOLAT ALGOTECH LIMITED,DOLATALGO
WESTLIFE FOODWORLD LIMITED,WESTLIFE
Zee Entertainment Enterprises Ltd.,ZEEL
SVP GLOBAL TEXTILES LIMITED,SVPGLOB
Bharat Gears Ltd.,BHARATGEAR
Elecon Engineering Co.Ltd.,ELECON
Gabriel India Ltd.,GABRIEL
Hercules Hoists Ltd.,HERCULES
IFB Industries Limited,IFBIND
Federal-Mogul Goetze (India) Ltd,FMGOETZE
Schaeffler India Limited,SCHAEFFLER
Rane Holdings Ltd.,RANEHOLDIN
Mangal Credit and Fincorp Limited,MANCREDIT
TRF Ltd,TRF
Prakash Industries Ltd.,PRAKASH
Grindwell Norton Ltd.,GRINDWELL
Lakshmi Precision Screws Ltd.,LAKPRE
Genesys International Corporation Ltd.,GENESYS
Visagar Polytex Ltd,VIVIDHA
Kanani Industries Ltd,KANANIIND
Arihant Superstructures Limited,ARIHANTSUP
Bliss GVS Pharma Limited,BLISSGVS
Styrenix Performance Materials Limited,STYRENIX
Alembic  Ltd,ALEMBICLTD
Amines & Plasticizers Ltd,AMNPLST
Anuh Pharma Ltd.,ANUHPHR
MODISON LIMITED,MODISONLTD
Bayer CropScience Limited.,BAYERCROP
Heubach Colorants India Limited,HEUBACHIND
Coromandel International Limited,COROMANDEL
Deepak Nitrite Limited,DEEPAKNTR
DMCC SPECIALITY CHEMICALS LIMITED,DMCC
GOCL Corporation Limited,GOCLCORP
Kanoria Chemicals & Industries Ltd.,KANORICHEM
Oriental Carbon & Chemicals Ltd.,OCCL
PCBL Chemical Limited,PCBL
Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM
Sadhana Nitrochem Ltd.,SADHNANIQ
Sudarshan Chemical Indus. Ltd.,SUDARSCHEM
Tecil Chemicals & Hydro Power Limit,TECILCHEM
Unichem Laboratories Ltd.,UNICHEMLAB
Alkyl Amines Chemicals Ltd.,ALKYLAMINE
AstraZeneca Pharma India Ltd.,ASTRAZEN
J.B. Chemicals & Pharmaceuticals Lt,JBCHEPHARM
Tilaknagar Industries Ltd,TI
Sakthi Sugars Ltd.,SAKHTISUG
Walchandnagar Industries Ltd,WALCHANNAG
IFB Agro Industries Ltd,IFBAGRO
G.M. Breweries Ltd.,GMBREW
Rana Sugars Ltd.,RANASUG
Som Distilleries & Breweries Ltd.,SDBL
Associated Alcohols & Breweries Ltd,ASALCBR
Foods & Inns Ltd.,FOODSIN
IVP Ltd.,IVP
Wipro  Ltd.,WIPRO
Dhanuka Agritech Ltd.,DHANUKA
TTK Healthcare Ltd.,TTKHLTCARE
Kanpur Plastipack Limited,KANPRPLA
Tainwala Chemicals & Plastics Ltd,TAINWALCHM
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM
Khaitan Chemicals & Fertilizers Ltd,KHAICHEM
Gillette India Ltd.,GILLETTE
Unitech Ltd.,UNITECH
V.I.P. Industries Ltd.,VIPIND
FIBERWEB (INDIA) LTD.,FIBERWEB
Cosmo First Limited,COSMOFIRST
Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
Everest Industries Ltd.,EVERESTIND
AYM Syntex Limited,AYMSYNTEX
Navneet Education Limited,NAVNETEDUL
AuSom Enterprise Limited,AUSOMENT
Ruchi Infrastructure Ltd,RUCHINFRA
Lancor Holdings Ltd.,LANCORHOL
Visaka Industries Ltd.,VISAKAIND
Infomedia Press Limited,INFOMEDIA
Gufic BioSciences Ltd.,GUFICBIO
GRP Limited,GRPLTD
PTL Enterprises Ltd,PTL
TVS Srichakra Ltd.,TVSSRICHAK
Berger Paints India Ltd,BERGEPAINT
Graphite India Ltd.,GRAPHITE
ITD Cementation India Ltd,ITDCEM
GARWARE TECHNICAL FIBRES LIMITED,GARFIBRES
Goa Carbon Ltd.,GOACARBON
HEG Ltd.,HEG
Hindustan Composites Ltd,HINDCOMPOS
HIL Limited,HIL
Indian Card Clothing Ltd,INDIANCARD
International Conveyors Ltd.,INTLCONV
Jay Shree Tea & Industries Ltd.,JAYSREETEA
HUHTAMAKI INDIA LIMITED,HUHTAMAKI
Shalimar Paints Ltd.,SHALPAINTS
Supreme Industries Ltd.,SUPREMEIND
VST Industries Ltd.,VSTIND
Jindal Drilling & Industries Ltd.,JINDRILL
Sat Industries Ltd,SATINDLTD
Shiva Texyarn Ltd.,SHIVATEX
ICDS Ltd.,ICDSLTD
Can Fin Homes Ltd.,CANFINHOME
IL & FS Investment Managers Ltd.,IVC
Shriram Finance Limited,SHRIRAMFIN
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN
VLS Finance Limited,VLSFINANCE
CREST VENTURES LIMITED,CREST
Vakrangee Limited,VAKRANGEE
Indbank Merchant Banking Services L,INDBANK
Capital Trust Ltd.,CAPTRUST
Monarch Networth Capital Limited,MONARCH
Times Guaranty Ltd.,TIMESGTY
Avonmore Capital & Management Services Limited,AVONMORE
Arihant Capital Markets Ltd.,ARIHANTCAP
DCM Financial Services Ltd.,DCMFINSERV
Sambhaav Media Ltd.,SAMBHAAV
GIC Housing Finance Ltd.,GICHSGFIN
BAID FINSERV LIMITED,BAIDFIN
Vipul Limited,VIPULLTD
UGRO CAPITAL LIMITED,UGROCAP
Muthoot Capital Services Ltd.,MUTHOOTCAP
Master Trust Ltd.,MASTERTR
UPL Limited,UPL
Signet Industries Limited,SIGIND
SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD
Sunteck Realty Ltd,SUNTECK
Jai Corp Limited,JAICORPLTD
Bhagyanagar India Limited,BHAGYANGR
STARTECK FINANCE LIMITED,STARTECK
Lloyds Metals and Energy Limited,LLOYDSME
LLOYDS ENTERPRISES LIMITED,LLOYDSENT
Donear Industries Ltd,DONEAR
Sequent Scientific Limited,SEQUENT
State Trading Corporation of India,STCINDIA
Zenith Exports Ltd.,ZENITHEXPO
Kohinoor Foods Ltd,KOHINOOR
Avanti Feeds ltd.,AVANTIFEED
KEYNOTE FINANCIAL SERVICES LIMITED,KEYFINSERV
Adani Enterprises Ltd.,ADANIENT
Bhandari Hosiery Exports Ltd.,BHANDARI
Orbit Exports Ltd.,ORBTEXP
NAVA LIMITED,NAVA
Shivalik Bimetal Controls Ltd.,SBCL
Gandhi Special Tubes Ltd.,GANDHITUBE
Oricon Enterprises Ltd.,ORICONENT
Pennar Industries Ltd.,PENIND
Jyoti Structures Ltd.,JYOTISTRUC
Steel Strips & Wheels Ltd,SSWL
Man Industries (India) Ltd,MANINDS
Ajmera Realty & Infra India Limited,AJMERA
Carborundum Universal Ltd.,CARBORUNIV
MMTC Ltd.,MMTC
Shah Alloys Limited,SHAHALLOYS
Kalyani Forge Ltd.,KALYANIFRG
Steelcast Ltd.,STEELCAS
PITTI ENGINEERING LIMITED,PITTIENG
Mahamaya Steel Industries Limited,MAHASTEEL
Hindustan Copper Ltd.,HINDCOPPER
NLC India Limited,NLCINDIA
Aro Granite Industries Ltd.,AROGRANITE
Loyal Textiles Mills Ltd,LOYALTEX
Himatsingka Seide Ltd.,HIMATSEIDE
BSL Ltd.,BSL
T T Ltd,TTL
WELSPUN LIVING LIMITED,WELSPUNLIV
Ganesha Ecosphere Limited,GANECOS
Vardhman Polytex Ltd.,VARDMNPOLY
Sangam (India) Ltd,SANGAMIND
Aarvee Denims & Exports Ltd.,AARVEEDEN
Ashima Ltd,ASHIMASYN
Pioneer Embroideries Ltd.,PIONEEREMB
Winsome Yarns Ltd.,WINSOME
Premier Polyfilm Ltd.,PREMIERPOL
Mangalam Organics Limited,MANORG
Mahalaxmi Rubtech Ltd.,MHLXMIRU
Regency Ceramics Ltd,REGENCERAM
Asahi India Glass Ltd.,ASAHIINDIA
Murudeshwar Ceramics Ltd.,MURUDCERA
Anant Raj Limited,ANANTRAJ
Madhav Marbles & Granites Ltd.,MADHAV
Shreyans Industries Limited.,SHREYANIND
Star Paper Mills Ltd.,STARPAPER
PAKKA LIMITED,PAKKA
Arrow Greentech Limited,ARROWGREEN
Vishnu Chemicals Limited,VISHNU
N.R.Agarwal Industries Ltd.,NRAIL
3P LAND HOLDINGS LTD.,3PLAND
Vindhya Telelinks Ltd.,VINDHYATEL
Ador Welding Ltd.,ADORWELD
Salzer Electronics Ltd.,SALZERELEC
Usha Martin Ltd.,USHAMART
Subros Ltd.,SUBROS
Honeywell Automation India Ltd.,HONAUT
Lumax Industries Ltd.,LUMAXIND
DIGISPICE TECHNOLOGIES LIMITED,DIGISPICE
HBL ENGINEERING LIMITED,HBLENGINE
S & S Power Switchgears Ltd.,S&SPOWER
Gujarat Industries Power Co. Ltd,GIPCL
Samvardhana Motherson International Limited,MOTHERSON
Mindteck (India) Ltd,MINDTECK
Havells India Limited,HAVELLS
Igarashi Motors India Ltd.,IGARASHI
Symphony Limited,SYMPHONY
Shyam Telecom Ltd.,SHYAMTEL
Butterfly Gandhimathi Appliances Limited,BUTTERFLY
R S Software India Ltd.,RSSOFTWARE
Websol Energy System Limited,WEBELSOLAR
Roto Pumps Ltd.,ROTO
TTK Prestige Ltd.,TTKPRESTIG
Rajratan Global Wire Ltd,RAJRATAN
Surana Telecom And Power Limited,SURANAT&P
Onward Technologies Ltd.,ONWARDTEC
Centum Electronics Ltd,CENTUM
PVP Ventures Ltd,PVP
Trigyn Technologies Ltd.,TRIGYN
KEI Industries Ltd.,KEI
Anjani Portland Cement Ltd.,APCL
Tasty Bite Eatables Ltd.,TASTYBITE
AVT Natural Products Ltd.,AVTNPL
Hindustan Foods Ltd.,HNDFDS
Nahar Industrial Enterprises Ltd,NAHARINDUS
Vadilal Industries Ltd.,VADILALIND
ADF Foods Limited.,ADFFOODS
William Magor & Company Limited,WILLAMAGOR
SANWARIA CONSUMER LIMITED,SANWARIA
Anik Industries Limited,ANIKINDS
N.K.Industries Ltd.,NKIND
Norben Tea & Exports Ltd,NORBTEAEXP
Heritage Foods Limited,HERITGFOOD
CCL Products (India) Ltd.,CCL
Kellton Tech Solutions Ltd.,KELLTONTEC
RICO Auto Industries Ltd.,RICOAUTO
Omax Autos Ltd.,OMAXAUTO
Munjal Showa Ltd.,MUNJALSHOW
Jamna Auto Industries Ltd.,JAMNAAUTO
TVS Holdings Limited,TVSHLTD
JTEKT India Limited,JTEKTINDIA
Munjal Auto Industries Ltd.,MUNJALAU
Jay Bharat Maruti Ltd.,JAYBARMARU
RACL Geartech Limited,RACLGEAR
Sical Logistics Limited,SICALLOG
Ratnamani Metals & Tubes Ltd,RATNAMANI
Vesuvius India Ltd.,VESUVIUS
Automotive Stampings and Assemblies Ltd.,ASAL
TRANSWORLD SHIPPING LINES LIMITED,TRANSWORLD
Eurotex Industries & Exports Ltd.,EUROTEXIND
Indo Count Industries Ltd,ICIL
Maral Overseas Ltd.,MARALOVER
Soma Textile & Industries Ltd,SOMATEX
Trident Ltd,TRIDENT
Alok Industries Ltd.,ALOKINDS
Nagreeka Exports Ltd.,NAGREEKEXP
Zodiac Clothing Co. Ltd.,ZODIACLOTH
Super Spinning Mills Ltd.,SUPERSPIN
SIL Investments Ltd,SILINV
Suryalakshmi Cotton Mills Ltd.,SURYALAXMI
Damodar Industries Limited,DAMODARIND
Paras Petrofils Ltd.,PARASPETRO
Kitex Garmenets Ltd.,KITEX
United Drilling Tools Ltd.,UNIDT
Windsor Machines Limited,WINDMACHIN
Shanthi Gears Ltd.,SHANTIGEAR
HONDA INDIA POWER PRODUCTS LIMITED,HONDAPOWER
The Hi-Tech Gears Limited,HITECHGEAR
Elgi Equipments Ltd.,ELGIEQUIP
Yuken India Ltd.,YUKEN
Timken India Ltd,TIMKEN
Diamond Power Infrastructure Limited,DIACABS
Praj Industries Ltd.,PRAJIND
HLE GLASCOAT LIMITED,HLEGLAS
Gujarat Apollo Industries Ltd.,GUJAPOLLO
M.M.Forgings Ltd.,MMFL
Mayur Uniquoters ltd.,MAYURUNIQ
Dolphin Offshore Enterprises (India) ltd.,DOLPHIN
Ram Ratna Wires Ltd.,RAMRAT
Jayaswal Neco Industries Ltd,JAYNECOIND
KALPATARU PROJECTS INTERNATIONAL LIMITED,KPIL
Control Print (India) Ltd.,CONTROLPR
Weizmann Limited.,WEIZMANIND
Sinclairs Hotels  Ltd,SINCLAIR
Safari Industries (India) Ltd.,SAFARI
EIH Associated Hotels Ltd.,EIHAHOTELS
Aban  Offshore Ltd.,ABAN
Kokuyo Camlin Ltd,KOKUYOCMLN
Pearl Polymers Ltd.,PEARLPOLY
Venky's (India) ltd.,VENKEYS
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR
Superhouse limited,SUPERHOUSE
TCPL Packaging Limited,TCPLPACK
Balmer Lawrie & Co. Ltd.,BALMLAWRIE
Eldeco Housing & Ind. Ltd.,ELDEHSG
DCM Shriram Limited,DCMSHRIRAM
DCM Shriram Industries Ltd.,DCMSRIND
Mawana Sugars Ltd,MAWANASUG
Maha Rashtra Apex Corporation Ltd,MAHAPEXLTD
Nilkamal Limited,NILKAMAL
Nahar Polyfilms Ltd.,NAHARPOLY
3M India Ltd.,3MINDIA
Johnson Controls-Hitachi Air Conditioning India Ltd.,JCHAC
JM Financial Limited,JMFINANCIL
Tamilnadu Telecommunications Ltd.,TNTELE
Reliance Industrial Infrastructure,RIIL
Linde India Limited,LINDEINDIA
Precision Wires India ltd.,PRECWIRE
Future Enterprises Limited,FEL
Shipping Corporation Of India Ltd,SCI
ITI Limited (Indian Teleph.Ind.Ltd),ITI
Dredging Corporation of India Ltd.,DREDGECORP
National Fertilizers Ltd.,NFL
PI Industries Limited,PIIND
Plastiblends India Ltd.,PLASTIBLEN
Apcotex Industries Limited,APCOTEXIND
Mastek Limited,MASTEK
EIMCO Elecon India Ltd.,EIMCOELECO
Ashiana Housing Limited,ASHIANA
Dhunseri Ventures Limited,DVL
MAHINDRA EPC IRRIGATION LIMITED,MAHEPC
Mazda Ltd.,MAZDA
Viceroy Hotels Ltd.,VHLTD
Menon Bearings Ltd,MENONBE
Gujarat Raffia Ind. Ltd.,GUJRAFFIA
Simplex Infrastructures Limited,SIMPLEXINF
POONAWALLA FINCORP LIMITED,POONAWALLA
Kingfa Science & Technology (India) Ltd,KINGFA
Rama Phosphates Ltd.,RAMAPHO
Polyplex Corporation Ltd.,POLYPLEX
Albert David Ltd.,ALBERTDAVD
CARYSIL LIMITED,CARYSIL
Kabra Extrusion Technik Ltd,KABRAEXTRU
Vinyl Chemicals (India) Ltd.,VINYLINDIA
IOL Chemicals & Pharmaceuticals Ltd,IOLCP
Vinati Organics Ltd.,VINATIORGA
Aarti Industries Ltd,AARTIIND
Wanbury Limited,WANBURY
Gujarat Ambuja Exports Ltd.,GAEL
Rashtriya Chemicals & Fertilizers Limited,RCF
Kopran Ltd.,KOPRAN
Jayant Agro-Organics Limited.,JAYAGROGN
BCL INDUSTRIES LIMITED,BCLIND
Indo Borax & Chemicals Ltd.,INDOBORAX
Aarti Drugs Limited,AARTIDRUGS
Bodal Chemicals Ltd,BODALCHEM
Orchid Pharma Limited,ORCHPHARMA
Vimta Labs Ltd.,VIMTALABS
Biofil Chemicals & Pharmaceuticals,BIOFILCHEM
Marksans Pharma Ltd.,MARKSANS
Aarey Drugs & Pharmaceuticals Ltd,AAREYDRUGS
Syncom Formulations (India) Ltd.,SYNCOMF
Ipca Laboratories Ltd.,IPCALAB
Kilitch Drugs (I) Ltd.,KILITCH
Krebs Biochemicals & Industries Ltd.,KREBSBIO
Sukhjit Starch & Chemicals Ltd.,SUKHJITS
Neuland Laboratories Limited.,NEULANDLAB
Poddar Pigments Ltd.,PODDARMENT
AksharChem (India) Ltd.,AKSHARCHEM
Indo Amines Ltd.,INDOAMIN
Ind-Swift Ltd.,INDSWFTLTD
Natural Capsules Ltd.,NATCAPSUQ
Savita Oil Technologies Limited,SOTL
